DOI,ACCENUMB,ORIGCTY,DECLATITUDE,DECLONGITUDE,Pred_Resistencia,Probabilidad_Resistencia
10.18730/JKECH,G16570,IRN,35.81,50.93,0,2.7545646e-05
10.18730/JKEKR,G16576,IRN,34.32,47.07,0,3.7464884e-05
10.18730/JZXX0,G990,IRN,31.32,48.7,0,5.6338147e-05
10.18730/JZXWU,G989,IRN,29.62,51.63,0,4.5667253e-05
10.18730/JZXT$,G987,IRN,29.6,52.53,0,3.6798305e-05
10.18730/JZXNX,G980,IRN,38.08,46.3,0,2.9825716e-05
10.18730/JZXKV,G978,IRN,37.55,45.07,0,3.7720565e-05
10.18730/JZXJT,G977,IRN,34.8,48.5,0,3.7745787e-05
10.18730/JZWY6,G965,IRN,35.67,51.43,0,3.3713615e-05
10.18730/JNE6R,G9506,IRN,36.35,59.61,0,3.429216e-05
10.18730/K33Q2,G9494,IRN,37.14,58.5,0,3.8923205e-05
10.18730/K32P6,G9458,IRN,32.68,51.64,0,3.6530582e-05
10.18730/JZ39U,G67,IRN,31.32,48.77,0,5.5762535e-05
10.18730/JG93*,G6029,IRN,35.27,59.2,0,3.4497458e-05
10.18730/JG92Z,G6028,IRN,36.21,58.84,0,3.3735196e-05
10.18730/JGHPB,G5598,IRN,37.46,59.12,0,3.8049297e-05
10.18730/JKERX,G5594,IRN,29.65,52.54,0,4.1716314e-05
10.18730/JK9TK,G5557,IRN,35.8,50.98,0,2.7665928e-05
10.18730/JK8WT,G5550,IRN,36.64,51.44,0,0.007676663
10.18730/JK94$,G5553,IRN,36.22,57.71,0,4.1683903e-05
10.18730/JK9B4,G5554,IRN,36.42,55.02,0,3.240789e-05
10.18730/JGJAZ,G5548,IRN,37.42,49.9,0,0.008798708
10.18730/JK8HF,G5545,IRN,29.14,52.87,0,3.959235e-05
10.18730/JK8KH,G5546,IRN,37.27,49.63,0,0.011324586
10.18730/JGJ9Y,G5544,IRN,33.64,50.07,0,2.829915e-05
10.18730/JK8FD,G5542,IRN,34.07,49.69,0,2.608809e-05
10.18730/JK7Y~,G5535,IRN,35.34,51.66,0,3.3303128e-05
10.18730/JGJQ7,G5505,IRN,37.47,57.27,0,3.1407813e-05
10.18730/JX2E~,G23227,IRN,37.81,48.9,0,8.04292e-05
10.18730/JX2AX,G23223,IRN,29.25,55.52,0,4.158956e-05
10.18730/JX2BY,G23224,IRN,26.53,57.47,0,7.9665035e-05
10.18730/JX23P,G23221,IRN,36.02,48.94,0,4.710011e-05
10.18730/K3N99,G23220,IRN,34.82,49.92,0,2.5550327e-05
